Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
03/02/2016,,Empoli,Udinese,1,1,D
06/02/2016,18:00,Bologna,Fiorentina,1,1,D
06/02/2016,20:45,Genoa,Lazio,0,0,D
07/02/2016,12:30,Hellas Verona,Inter,3,3,D
07/02/2016,15:00,Napoli,Carpi,1,0,H
07/02/2016,,Torino,Chievo,1,2,A
07/02/2016,,Frosinone,Juventus,0,2,A
07/02/2016,,Sassuolo,Palermo,2,2,D
07/02/2016,,AC Milan,Udinese,1,1,D
07/02/2016,18:00,Atalanta,Empoli,0,0,D
07/02/2016,20:45,AS Roma,Sampdoria,2,1,H
11/02/2016,20:45,Lazio,Hellas Verona,5,2,H
12/02/2016,20:45,Carpi,AS Roma,1,3,A
13/02/2016,15:00,Empoli,Frosinone,1,2,A
13/02/2016,18:00,Chievo,Sassuolo,1,1,D
13/02/2016,20:45,Juventus,Napoli,1,0,H
14/02/2016,12:30,AC Milan,Genoa,2,1,H
14/02/2016,15:00,Sampdoria,Atalanta,0,0,D
14/02/2016,,Udinese,Bologna,0,1,A
14/02/2016,,Palermo,Torino,1,3,A
14/02/2016,20:45,Fiorentina,Inter,2,1,H
19/02/2016,20:45,Bologna,Juventus,0,0,D
20/02/2016,18:00,Hellas Verona,Chievo,3,1,H
20/02/2016,20:45,Inter,Sampdoria,3,1,H
21/02/2016,15:00,Torino,Carpi,0,0,D
21/02/2016,,Sassuolo,Empoli,3,2,H
21/02/2016,,Atalanta,Fiorentina,2,3,A
21/02/2016,,Genoa,Udinese,2,1,H
21/02/2016,18:00,Frosinone,Lazio,0,0,D
21/02/2016,20:45,AS Roma,Palermo,5,0,H
22/02/2016,21:00,Napoli,AC Milan,1,1,D
27/02/2016,18:00,Empoli,AS Roma,1,3,A
27/02/2016,20:45,AC Milan,Torino,1,0,H
28/02/2016,12:30,Palermo,Bologna,0,0,D
28/02/2016,15:00,Carpi,Atalanta,1,1,D
28/02/2016,,Sampdoria,Frosinone,2,0,H
28/02/2016,,Chievo,Genoa,1,0,H
28/02/2016,,Udinese,Hellas Verona,2,0,H
28/02/2016,20:45,Juventus,Inter,2,0,H
29/02/2016,19:00,Lazio,Sassuolo,0,2,A
29/02/2016,21:00,Fiorentina,Napoli,1,1,D
04/03/2016,20:45,AS Roma,Fiorentina,4,1,H
05/03/2016,18:00,Hellas Verona,Sampdoria,0,3,A
05/03/2016,20:45,Napoli,Chievo,3,1,H
06/03/2016,12:30,Torino,Lazio,1,1,D
06/03/2016,15:00,Bologna,Carpi,0,0,D
06/03/2016,,Genoa,Empoli,1,0,H
06/03/2016,,Atalanta,Juventus,0,2,A
06/03/2016,,Sassuolo,AC Milan,2,0,H
06/03/2016,,Frosinone,Udinese,2,0,H
06/03/2016,20:45,Inter,Palermo,3,1,H
11/03/2016,20:45,Juventus,Sassuolo,1,0,H
12/03/2016,18:00,Empoli,Sampdoria,1,1,D
12/03/2016,20:45,Inter,Bologna,2,1,H
13/03/2016,12:30,Chievo,AC Milan,0,0,D
13/03/2016,15:00,Carpi,Frosinone,2,1,H
13/03/2016,,Fiorentina,Hellas Verona,1,1,D
13/03/2016,,Udinese,AS Roma,1,2,A
13/03/2016,,Genoa,Torino,3,2,H
13/03/2016,20:45,Lazio,Atalanta,2,0,H
13/03/2016,,Palermo,Napoli,0,1,A
19/03/2016,18:00,Empoli,Palermo,0,0,D
19/03/2016,20:45,AS Roma,Inter,1,1,D
20/03/2016,12:30,Atalanta,Bologna,2,0,H
20/03/2016,15:00,Torino,Juventus,1,4,A
20/03/2016,,Sassuolo,Udinese,1,1,D
20/03/2016,,Hellas Verona,Carpi,1,2,A
20/03/2016,,Sampdoria,Chievo,0,1,A
20/03/2016,,Frosinone,Fiorentina,0,0,D
20/03/2016,18:00,Napoli,Genoa,3,1,H
20/03/2016,20:45,AC Milan,Lazio,1,1,D
02/04/2016,18:00,Carpi,Sassuolo,1,3,A
02/04/2016,20:45,Juventus,Empoli,1,0,H
03/04/2016,12:30,Udinese,Napoli,3,1,H
03/04/2016,15:00,Genoa,Frosinone,4,0,H
03/04/2016,,Atalanta,AC Milan,2,1,H
03/04/2016,,Chievo,Palermo,3,1,H
03/04/2016,,Lazio,AS Roma,1,4,A
03/04/2016,,Fiorentina,Sampdoria,1,1,D
03/04/2016,20:45,Inter,Torino,1,2,A
04/04/2016,20:45,Bologna,Hellas Verona,0,1,A
09/04/2016,15:00,Frosinone,Inter,0,1,A
09/04/2016,18:00,Chievo,Carpi,1,0,H
09/04/2016,,Sassuolo,Genoa,0,1,A
09/04/2016,20:45,AC Milan,Juventus,1,2,A
10/04/2016,12:30,Empoli,Fiorentina,2,0,H
10/04/2016,15:00,Torino,Atalanta,2,1,H
10/04/2016,,Napoli,Hellas Verona,3,0,H
10/04/2016,,Sampdoria,Udinese,2,0,H
10/04/2016,20:45,Palermo,Lazio,0,3,A
11/04/2016,20:45,AS Roma,Bologna,1,1,D
16/04/2016,15:00,Bologna,Torino,0,1,A
16/04/2016,18:00,Carpi,Genoa,4,1,H
16/04/2016,20:45,Inter,Napoli,2,0,H
17/04/2016,12:30,Atalanta,AS Roma,3,3,D
17/04/2016,15:00,Udinese,Chievo,0,0,D
17/04/2016,,Hellas Verona,Frosinone,1,2,A
17/04/2016,,Juventus,Palermo,4,0,H
17/04/2016,,Fiorentina,Sassuolo,3,1,H
17/04/2016,18:00,Lazio,Empoli,2,0,H
17/04/2016,20:45,Sampdoria,AC Milan,0,1,A
19/04/2016,20:45,Napoli,Bologna,6,0,H
20/04/2016,18:30,Sassuolo,Sampdoria,0,0,D
20/04/2016,20:45,Palermo,Atalanta,2,2,D
20/04/2016,,Udinese,Fiorentina,2,1,H
20/04/2016,,Chievo,Frosinone,5,1,H
20/04/2016,,Empoli,Hellas Verona,1,0,H
20/04/2016,,Genoa,Inter,1,0,H
20/04/2016,,Juventus,Lazio,3,0,H
20/04/2016,,AS Roma,Torino,3,2,H
21/04/2016,20:45,AC Milan,Carpi,0,0,D
23/04/2016,20:45,Inter,Udinese,3,1,H
24/04/2016,12:30,Frosinone,Palermo,0,2,A
24/04/2016,15:00,Atalanta,Chievo,1,0,H
24/04/2016,,Bologna,Genoa,2,0,H
24/04/2016,,Sampdoria,Lazio,2,1,H
24/04/2016,,Torino,Sassuolo,1,3,A
24/04/2016,20:45,Fiorentina,Juventus,1,2,A
25/04/2016,15:00,AS Roma,Napoli,1,0,H
25/04/2016,17:00,Hellas Verona,AC Milan,2,1,H
25/04/2016,19:00,Carpi,Empoli,1,0,H
30/04/2016,18:00,Udinese,Torino,1,5,A
30/04/2016,20:45,Chievo,Fiorentina,0,0,D
01/05/2016,12:30,Juventus,Carpi,2,0,H
01/05/2016,15:00,Empoli,Bologna,0,0,D
01/05/2016,,AC Milan,Frosinone,3,3,D
01/05/2016,,Sassuolo,Hellas Verona,1,0,H
01/05/2016,,Palermo,Sampdoria,2,0,H
01/05/2016,20:45,Lazio,Inter,2,0,H
02/05/2016,19:00,Genoa,AS Roma,2,3,A
02/05/2016,21:00,Napoli,Atalanta,2,1,H
07/05/2016,18:00,Inter,Empoli,2,1,H
07/05/2016,20:45,Bologna,AC Milan,0,1,A
08/05/2016,12:30,AS Roma,Chievo,3,0,H
08/05/2016,15:00,Sampdoria,Genoa,0,3,A
08/05/2016,,Carpi,Lazio,1,3,A
08/05/2016,,Fiorentina,Palermo,0,0,D
08/05/2016,,Frosinone,Sassuolo,0,1,A
08/05/2016,,Atalanta,Udinese,1,1,D
08/05/2016,20:45,Hellas Verona,Juventus,2,1,H
08/05/2016,,Torino,Napoli,1,2,A
14/05/2016,17:00,Juventus,Sampdoria,5,0,H
14/05/2016,20:45,Napoli,Frosinone,4,0,H
14/05/2016,,Sassuolo,Inter,3,1,H
14/05/2016,,AC Milan,AS Roma,1,3,A
15/05/2016,18:00,Genoa,Atalanta,1,2,A
15/05/2016,,Chievo,Bologna,0,0,D
15/05/2016,,Empoli,Torino,2,1,H
15/05/2016,20:45,Udinese,Carpi,1,2,A
15/05/2016,,Lazio,Fiorentina,2,4,A
15/05/2016,,Palermo,Hellas Verona,3,2,H
20/08/2016,18:00,AS Roma,Udinese,4,0,H
20/08/2016,20:45,Juventus,Fiorentina,2,1,H
21/08/2016,18:00,AC Milan,Torino,3,2,H
21/08/2016,20:45,Atalanta,Lazio,3,4,A
21/08/2016,,Bologna,Crotone,1,0,H
21/08/2016,,Chievo,Inter,2,0,H
21/08/2016,,Empoli,Sampdoria,0,1,A
21/08/2016,,Genoa,Cagliari,3,1,H
21/08/2016,,Palermo,Sassuolo,0,1,A
21/08/2016,,Pescara,Napoli,2,2,D
27/08/2016,18:00,Lazio,Juventus,0,1,A
27/08/2016,20:45,Napoli,AC Milan,4,2,H
28/08/2016,18:00,Inter,Palermo,1,1,D
28/08/2016,20:45,Cagliari,AS Roma,2,2,D
28/08/2016,,Crotone,Genoa,1,3,A
28/08/2016,,Fiorentina,Chievo,1,0,H
28/08/2016,,Sampdoria,Atalanta,2,1,H
28/08/2016,,Sassuolo,Pescara,0,3,A
28/08/2016,,Torino,Bologna,5,1,H
28/08/2016,,Udinese,Empoli,2,0,H
10/09/2016,18:00,Juventus,Sassuolo,3,1,H
10/09/2016,20:45,Palermo,Napoli,0,3,A
11/09/2016,12:30,Bologna,Cagliari,2,1,H
11/09/2016,15:00,Atalanta,Torino,2,1,H
11/09/2016,,Chievo,Lazio,1,1,D
11/09/2016,,AC Milan,Udinese,0,1,A
11/09/2016,,AS Roma,Sampdoria,3,2,H
11/09/2016,20:45,Pescara,Inter,1,2,A
12/09/2016,20:45,Empoli,Crotone,2,1,H
15/12/2016,20:00,Genoa,Fiorentina,1,0,H
16/09/2016,20:45,Sampdoria,AC Milan,0,1,A
17/09/2016,18:00,Lazio,Pescara,3,0,H
17/09/2016,20:45,Napoli,Bologna,3,1,H
18/09/2016,12:30,Udinese,Chievo,1,2,A
18/09/2016,15:00,Cagliari,Atalanta,3,0,H
18/09/2016,,Crotone,Palermo,1,1,D
18/09/2016,,Sassuolo,Genoa,2,0,H
18/09/2016,,Torino,Empoli,0,0,D
18/09/2016,18:00,Inter,Juventus,2,1,H
18/09/2016,20:45,Fiorentina,AS Roma,1,0,H
20/09/2016,20:45,AC Milan,Lazio,2,0,H
21/09/2016,18:30,Bologna,Sampdoria,2,0,H
21/09/2016,20:45,Atalanta,Palermo,0,1,A
21/09/2016,,Chievo,Sassuolo,2,1,H
21/09/2016,,Empoli,Inter,0,2,A
21/09/2016,,Genoa,Napoli,0,0,D
21/09/2016,,Juventus,Cagliari,4,0,H
21/09/2016,,Pescara,Torino,0,0,D
21/09/2016,,AS Roma,Crotone,4,0,H
21/09/2016,,Udinese,Fiorentina,2,2,D
24/09/2016,18:00,Palermo,Juventus,0,1,A
24/09/2016,20:45,Napoli,Chievo,2,0,H
25/09/2016,12:30,Torino,AS Roma,3,1,H
25/09/2016,15:00,Genoa,Pescara,1,1,D
25/09/2016,,Inter,Bologna,1,1,D
25/09/2016,,Lazio,Empoli,2,0,H
25/09/2016,,Sassuolo,Udinese,1,0,H
25/09/2016,20:45,Fiorentina,AC Milan,0,0,D
26/09/2016,19:00,Crotone,Atalanta,1,3,A
26/09/2016,21:00,Cagliari,Sampdoria,2,1,H
01/10/2016,18:00,Pescara,Chievo,0,2,A
01/10/2016,20:45,Udinese,Lazio,0,3,A
02/10/2016,12:30,Empoli,Juventus,0,3,A
02/10/2016,15:00,Atalanta,Napoli,1,0,H
