Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
03/11/2021,19:00,Amorebieta,Valladolid,4,1,H
04/11/2021,19:00,Burgos,Real Zaragoza,0,1,A
04/11/2021,,Girona,Alcorcon,3,1,H
04/11/2021,21:15,Malaga,Real Sociedad B,2,1,H
04/11/2021,,Ibiza,Tenerife,0,0,D
05/11/2021,21:00,Huesca,Leganes,0,2,A
06/11/2021,16:00,Lugo,Ponferradina,1,2,A
06/11/2021,18:15,Real Oviedo,Las Palmas,1,1,D
06/11/2021,,Valladolid,Mirandes,3,1,H
06/11/2021,21:00,Fuenlabrada,Eibar,0,0,D
07/11/2021,16:00,Real Zaragoza,Sporting Gijon,2,0,H
07/11/2021,18:15,Cartagena,Malaga,3,1,H
07/11/2021,,Almeria,Burgos,2,0,H
07/11/2021,21:00,Real Sociedad B,Ibiza,0,1,A
07/11/2021,14:00,Alcorcon,Amorebieta,2,2,D
08/11/2021,21:00,Tenerife,Girona,2,1,H
12/11/2021,21:00,Sporting Gijon,Real Sociedad B,0,1,A
13/11/2021,18:15,Mirandes,Huesca,0,1,A
13/11/2021,,Eibar,Alcorcon,2,1,H
13/11/2021,20:30,Las Palmas,Real Zaragoza,2,3,A
13/11/2021,16:00,Valladolid,Fuenlabrada,3,0,H
14/11/2021,14:00,Amorebieta,Lugo,1,3,A
14/11/2021,16:00,Girona,Cartagena,2,0,H
14/11/2021,,Ibiza,Almeria,0,1,A
14/11/2021,18:15,Burgos,Ponferradina,1,0,H
14/11/2021,,Leganes,Real Oviedo,0,0,D
15/11/2021,21:00,Malaga,Tenerife,1,0,H
19/11/2021,21:00,Fuenlabrada,Mirandes,1,1,D
20/11/2021,18:15,Malaga,Las Palmas,2,1,H
20/11/2021,20:30,Almeria,Valladolid,3,1,H
20/11/2021,16:00,Real Oviedo,Amorebieta,2,0,H
21/11/2021,14:00,Cartagena,Burgos,1,0,H
21/11/2021,16:00,Lugo,Eibar,2,2,D
21/11/2021,18:15,Tenerife,Alcorcon,1,0,H
21/11/2021,,Huesca,Ibiza,0,0,D
21/11/2021,20:30,Ponferradina,Sporting Gijon,4,1,H
22/11/2021,21:00,Real Zaragoza,Leganes,0,2,A
22/11/2021,19:00,Real Sociedad B,Girona,1,2,A
26/11/2021,21:00,Alcorcon,Lugo,1,1,D
26/11/2021,,Mirandes,Real Oviedo,1,1,D
27/11/2021,18:15,Sporting Gijon,Fuenlabrada,1,1,D
27/11/2021,,Almeria,Huesca,0,0,D
27/11/2021,20:30,Valladolid,Cartagena,2,0,H
27/11/2021,16:00,Burgos,Malaga,3,0,H
28/11/2021,14:00,Leganes,Las Palmas,4,1,H
28/11/2021,16:00,Amorebieta,Real Zaragoza,1,1,D
28/11/2021,,Ibiza,Ponferradina,0,1,A
28/11/2021,18:15,Tenerife,Real Sociedad B,2,0,H
29/11/2021,21:00,Eibar,Girona,4,2,H
03/12/2021,21:00,Huesca,Valladolid,3,2,H
04/12/2021,18:15,Fuenlabrada,Almeria,1,1,D
05/12/2021,14:00,Ponferradina,Mirandes,2,1,H
05/12/2021,16:00,Malaga,Amorebieta,1,2,A
05/12/2021,18:15,Lugo,Ibiza,0,0,D
05/12/2021,,Real Oviedo,Alcorcon,3,1,H
05/12/2021,,Real Sociedad B,Burgos,0,1,A
05/12/2021,20:30,Las Palmas,Sporting Gijon,1,0,H
06/12/2021,18:15,Cartagena,Tenerife,1,1,D
06/12/2021,21:00,Girona,Leganes,3,0,H
06/12/2021,16:00,Real Zaragoza,Eibar,1,0,H
10/12/2021,21:00,Sporting Gijon,Huesca,1,1,D
11/12/2021,16:00,Burgos,Fuenlabrada,2,0,H
11/12/2021,,Ibiza,Girona,1,1,D
11/12/2021,18:15,Almeria,Real Zaragoza,3,0,H
11/12/2021,20:30,Eibar,Malaga,2,2,D
11/12/2021,21:00,Tenerife,Lugo,1,1,D
12/12/2021,14:00,Leganes,Ponferradina,1,1,D
12/12/2021,16:00,Valladolid,Real Oviedo,2,1,H
12/12/2021,18:15,Alcorcon,Cartagena,1,1,D
12/12/2021,,Amorebieta,Las Palmas,1,1,D
13/12/2021,21:00,Mirandes,Real Sociedad B,2,0,H
17/12/2021,21:00,Girona,Burgos,3,1,H
18/12/2021,16:00,Ibiza,Sporting Gijon,0,2,A
18/12/2021,18:15,Las Palmas,Eibar,0,1,A
18/12/2021,16:00,Malaga,Leganes,0,2,A
19/12/2021,14:00,Fuenlabrada,Real Oviedo,0,0,D
19/12/2021,16:00,Real Zaragoza,Tenerife,0,2,A
19/12/2021,,Ponferradina,Amorebieta,1,1,D
19/12/2021,18:15,Cartagena,Mirandes,3,0,H
19/12/2021,,Real Sociedad B,Valladolid,0,2,A
19/12/2021,,Huesca,Alcorcon,0,0,D
31/12/2021,16:15,Eibar,Real Sociedad B,3,2,H
31/12/2021,14:00,Real Oviedo,Ponferradina,2,0,H
31/12/2021,16:00,Burgos,Amorebieta,2,2,D
02/01/2022,18:15,Huesca,Girona,0,1,A
02/01/2022,14:00,Valladolid,Leganes,1,0,H
02/01/2022,,Almeria,Cartagena,0,1,A
02/01/2022,16:00,Sporting Gijon,Lugo,1,1,D
02/01/2022,18:15,Mirandes,Real Zaragoza,2,0,H
02/01/2022,21:30,Tenerife,Las Palmas,0,1,A
02/01/2022,21:00,Fuenlabrada,Ibiza,1,2,A
03/01/2022,21:00,Alcorcon,Malaga,0,1,A
07/01/2022,21:00,Amorebieta,Tenerife,1,1,D
08/01/2022,18:15,Valladolid,Burgos,1,0,H
08/01/2022,16:00,Cartagena,Huesca,0,3,A
08/01/2022,,Ibiza,Alcorcon,6,2,H
08/01/2022,21:00,Leganes,Real Sociedad B,1,1,D
09/01/2022,14:00,Girona,Fuenlabrada,2,1,H
09/01/2022,16:00,Lugo,Mirandes,2,1,H
09/01/2022,18:15,Malaga,Sporting Gijon,2,2,D
09/01/2022,20:30,Ponferradina,Real Zaragoza,0,0,D
09/01/2022,21:30,Las Palmas,Almeria,1,1,D
10/01/2022,21:00,Real Oviedo,Eibar,1,1,D
19/01/2022,21:00,Lugo,Almeria,2,1,H
21/01/2022,21:00,Tenerife,Real Oviedo,4,0,H
22/01/2022,18:15,Fuenlabrada,Las Palmas,3,2,H
